user_id,total_posts,avg_sentiment_score,total_engagement,favorite_platform,engagement_per_post,user_segment
user_194,1,1.0,810,Facebook,810.0,Active Contributor
user_222,1,1.0,810,Twitter,810.0,Active Contributor
user_262,1,1.0,810,Instagram,810.0,Active Contributor
user_286,1,1.0,810,Instagram,810.0,Active Contributor
user_150,1,1.0,785,Twitter,785.0,Active Contributor
user_242,1,1.0,785,Facebook,785.0,Active Contributor
user_060,1,1.0,780,Twitter,780.0,Active Contributor
user_006,2,0.5,771,Facebook,385.5,Active Contributor
user_122,1,1.0,760,Facebook,760.0,Active Contributor
user_178,1,1.0,760,Instagram,760.0,Active Contributor
user_214,1,1.0,760,Instagram,760.0,Active Contributor
user_270,1,1.0,760,Twitter,760.0,Active Contributor
user_007,1,1.0,740,Instagram,740.0,Active Contributor
user_044,1,1.0,740,Facebook,740.0,Active Contributor
user_142,1,1.0,735,Instagram,735.0,Active Contributor
user_234,1,1.0,735,Twitter,735.0,Active Contributor
user_020,1,1.0,730,Facebook,730.0,Active Contributor
user_072,1,1.0,720,Twitter,720.0,Active Contributor
user_108,1,1.0,710,Twitter,710.0,Active Contributor
user_158,1,1.0,710,Facebook,710.0,Active Contributor
user_200,1,1.0,710,Facebook,710.0,Active Contributor
user_250,1,1.0,710,Instagram,710.0,Active Contributor
user_292,1,1.0,710,Instagram,710.0,Active Contributor
user_126,1,1.0,685,Twitter,685.0,Active Contributor
user_168,1,1.0,685,Twitter,685.0,Active Contributor
user_218,1,1.0,685,Facebook,685.0,Active Contributor
user_260,1,1.0,685,Facebook,685.0,Active Contributor
user_146,1,1.0,660,Facebook,660.0,Active Contributor
user_190,1,1.0,660,Instagram,660.0,Active Contributor
user_238,1,1.0,660,Instagram,660.0,Active Contributor
user_282,1,1.0,660,Twitter,660.0,Active Contributor
user_080,1,1.0,650,Facebook,650.0,Active Contributor
user_114,1,1.0,635,Twitter,635.0,Active Contributor
user_174,1,1.0,635,Twitter,635.0,Active Contributor
user_206,1,1.0,635,Facebook,635.0,Active Contributor
user_266,1,1.0,635,Facebook,635.0,Active Contributor
user_062,1,1.0,610,Facebook,610.0,Active Contributor
user_090,1,1.0,610,Twitter,610.0,Active Contributor
user_162,1,1.0,610,Twitter,610.0,Active Contributor
user_254,1,1.0,610,Facebook,610.0,Active Contributor
user_134,1,1.0,585,Facebook,585.0,Active Contributor
user_226,1,1.0,585,Instagram,585.0,Active Contributor
user_032,1,1.0,570,Facebook,570.0,Regular User
user_074,1,1.0,560,Facebook,560.0,Regular User
user_098,1,1.0,560,Facebook,560.0,Regular User
user_182,1,1.0,560,Facebook,560.0,Regular User
user_274,1,1.0,560,Instagram,560.0,Regular User
user_048,1,1.0,530,Twitter,530.0,Regular User
user_054,1,1.0,475,Twitter,475.0,Regular User
user_082,1,1.0,475,Instagram,475.0,Regular User
user_066,1,1.0,425,Twitter,425.0,Regular User
user_026,1,1.0,415,Facebook,415.0,Regular User
user_008,1,1.0,405,Facebook,405.0,Regular User
user_038,1,1.0,398,Facebook,398.0,Regular User
user_012,1,0.0,175,Instagram,175.0,Regular User
user_003,2,-0.5,161,Facebook,80.5,Regular User
user_017,1,0.0,137,Facebook,137.0,Regular User
user_063,1,-1.0,137,Twitter,137.0,Regular User
user_041,1,0.0,131,Facebook,131.0,Regular User
user_223,1,-1.0,128,Instagram,128.0,Regular User
user_131,1,-1.0,127,Facebook,127.0,Regular User
user_025,1,0.0,123,Instagram,123.0,Regular User
user_027,1,-1.0,120,Twitter,120.0,Regular User
user_065,1,0.0,117,Facebook,117.0,Regular User
user_075,1,-1.0,112,Twitter,112.0,Regular User
user_014,1,0.0,111,Twitter,111.0,Regular User
user_153,1,0.0,109,Twitter,109.0,Regular User
user_245,1,0.0,109,Facebook,109.0,Regular User
user_101,1,0.0,108,Facebook,108.0,Regular User
user_193,1,0.0,107,Instagram,107.0,Regular User
user_221,1,0.0,107,Facebook,107.0,Regular User
user_285,1,0.0,107,Twitter,107.0,Regular User
user_037,1,0.0,106,Instagram,106.0,Regular User
user_129,1,0.0,106,Twitter,106.0,Regular User
user_205,1,0.0,105,Instagram,105.0,Regular User
user_069,1,0.0,104,Twitter,104.0,Regular User
user_113,1,0.0,104,Facebook,104.0,Regular User
user_161,1,0.0,104,Facebook,104.0,Regular User
user_253,1,0.0,104,Instagram,104.0,Regular User
user_097,1,0.0,102,Instagram,102.0,Regular User
user_145,1,0.0,102,Instagram,102.0,Regular User
user_189,1,0.0,102,Twitter,102.0,Regular User
user_237,1,0.0,102,Twitter,102.0,Regular User
user_281,1,0.0,102,Facebook,102.0,Regular User
user_047,1,-1.0,100,Facebook,100.0,Regular User
user_081,1,0.0,99,Twitter,99.0,Regular User
user_121,1,0.0,99,Instagram,99.0,Regular User
user_177,1,0.0,99,Twitter,99.0,Regular User
user_213,1,0.0,99,Twitter,99.0,Regular User
user_269,1,0.0,99,Facebook,99.0,Regular User
user_053,1,0.0,98,Facebook,98.0,Regular User
user_149,1,0.0,98,Facebook,98.0,Regular User
user_241,1,0.0,98,Instagram,98.0,Regular User
user_091,1,-1.0,96,Instagram,96.0,Regular User
user_109,1,0.0,96,Instagram,96.0,Regular User
user_165,1,0.0,96,Twitter,96.0,Regular User
user_201,1,0.0,96,Twitter,96.0,Regular User
user_257,1,0.0,96,Facebook,96.0,Regular User
user_293,1,0.0,96,Facebook,96.0,Regular User
user_137,1,0.0,95,Facebook,95.0,Regular User
user_229,1,0.0,95,Instagram,95.0,Regular User
user_077,1,0.0,92,Facebook,92.0,Regular User
user_125,1,0.0,92,Facebook,92.0,Regular User
user_173,1,0.0,92,Facebook,92.0,Regular User
user_217,1,0.0,92,Instagram,92.0,Regular User
user_265,1,0.0,92,Instagram,92.0,Regular User
user_002,2,-1.0,90,Twitter,45.0,Regular User
user_033,1,0.0,90,Twitter,90.0,Regular User
user_061,1,0.0,90,Instagram,90.0,Regular User
user_093,1,0.0,90,Twitter,90.0,Regular User
user_141,1,0.0,89,Twitter,89.0,Regular User
user_147,1,-1.0,89,Twitter,89.0,Regular User
user_181,1,0.0,89,Instagram,89.0,Regular User
user_233,1,0.0,89,Facebook,89.0,Regular User
user_239,1,-1.0,89,Facebook,89.0,Regular User
user_273,1,0.0,89,Twitter,89.0,Regular User
user_085,1,0.0,86,Instagram,86.0,Regular User
user_117,1,0.0,86,Twitter,86.0,Regular User
user_157,1,0.0,86,Instagram,86.0,Regular User
user_195,1,-1.0,86,Twitter,86.0,Regular User
user_197,1,0.0,86,Facebook,86.0,Regular User
user_209,1,0.0,86,Facebook,86.0,Regular User
user_249,1,0.0,86,Twitter,86.0,Regular User
user_287,1,-1.0,86,Facebook,86.0,Regular User
user_289,1,0.0,86,Instagram,86.0,Regular User
user_039,1,-1.0,85,Twitter,85.0,Regular User
user_103,1,-1.0,85,Instagram,85.0,Regular User
user_105,1,0.0,84,Twitter,84.0,Regular User
user_045,1,0.0,83,Twitter,83.0,Regular User
user_133,1,0.0,83,Instagram,83.0,Regular User
user_185,1,0.0,83,Facebook,83.0,Regular User
user_225,1,0.0,83,Twitter,83.0,Regular User
user_277,1,0.0,83,Instagram,83.0,Regular User
user_067,1,-1.0,79,Instagram,79.0,Regular User
user_089,1,0.0,79,Facebook,79.0,Regular User
user_169,1,0.0,79,Instagram,79.0,Regular User
user_261,1,0.0,79,Twitter,79.0,Regular User
user_123,1,-1.0,77,Twitter,77.0,Regular User
user_215,1,-1.0,77,Facebook,77.0,Regular User
user_073,1,0.0,76,Instagram,76.0,Regular User
user_029,1,0.0,74,Facebook,74.0,Regular User
user_099,1,-1.0,74,Twitter,74.0,Regular User
user_191,1,-1.0,74,Facebook,74.0,Regular User
user_283,1,-1.0,74,Instagram,74.0,Regular User
user_057,1,0.0,73,Twitter,73.0,Regular User
user_135,1,-1.0,71,Twitter,71.0,Regular User
user_183,1,-1.0,71,Twitter,71.0,Regular User
user_227,1,-1.0,71,Facebook,71.0,Regular User
user_275,1,-1.0,71,Facebook,71.0,Regular User
user_055,1,-1.0,69,Instagram,69.0,Regular User
user_083,1,-1.0,69,Facebook,69.0,Regular User
user_111,1,-1.0,68,Twitter,68.0,Regular User
user_167,1,-1.0,68,Facebook,68.0,Regular User
user_203,1,-1.0,68,Facebook,68.0,Regular User
user_259,1,-1.0,68,Instagram,68.0,Regular User
user_019,1,-1.0,67,Instagram,67.0,Regular User
user_143,1,-1.0,65,Facebook,65.0,Regular User
user_175,1,-1.0,65,Instagram,65.0,Regular User
user_235,1,-1.0,65,Instagram,65.0,Regular User
user_267,1,-1.0,65,Twitter,65.0,Regular User
user_049,1,0.0,62,Instagram,62.0,Regular User
user_155,1,-1.0,62,Facebook,62.0,Regular User
user_247,1,-1.0,62,Instagram,62.0,Regular User
user_013,1,-1.0,60,Facebook,60.0,Regular User
user_021,1,0.0,60,Twitter,60.0,Regular User
user_087,1,-1.0,60,Twitter,60.0,Regular User
user_115,1,-1.0,59,Instagram,59.0,Regular User
user_171,1,-1.0,59,Twitter,59.0,Regular User
user_207,1,-1.0,59,Twitter,59.0,Regular User
user_263,1,-1.0,59,Facebook,59.0,Regular User
user_127,1,-1.0,56,Instagram,56.0,Regular User
user_199,1,-1.0,56,Instagram,56.0,Regular User
user_219,1,-1.0,56,Twitter,56.0,Regular User
user_291,1,-1.0,56,Twitter,56.0,Regular User
user_159,1,-1.0,55,Twitter,55.0,Regular User
user_251,1,-1.0,55,Facebook,55.0,Regular User
user_043,1,-1.0,53,Instagram,53.0,Regular User
user_179,1,-1.0,53,Facebook,53.0,Regular User
user_271,1,-1.0,53,Instagram,53.0,Regular User
user_107,1,-1.0,52,Facebook,52.0,Regular User
user_163,1,-1.0,50,Instagram,50.0,Regular User
user_255,1,-1.0,50,Twitter,50.0,Regular User
user_079,1,-1.0,49,Instagram,49.0,Regular User
user_009,1,0.0,47,Twitter,47.0,Regular User
user_139,1,-1.0,47,Instagram,47.0,Regular User
user_187,1,-1.0,47,Instagram,47.0,Regular User
user_231,1,-1.0,47,Twitter,47.0,Regular User
user_279,1,-1.0,47,Twitter,47.0,Regular User
user_031,1,-1.0,44,Instagram,44.0,Regular User
user_151,1,-1.0,44,Instagram,44.0,Regular User
user_243,1,-1.0,44,Twitter,44.0,Regular User
user_095,1,-1.0,43,Facebook,43.0,Regular User
user_051,1,-1.0,42,Twitter,42.0,Regular User
user_211,1,-1.0,41,Instagram,41.0,Regular User
user_119,1,-1.0,40,Facebook,40.0,Regular User
user_071,1,-1.0,37,Facebook,37.0,Regular User
user_035,1,-1.0,35,Facebook,35.0,Regular User
user_023,1,-1.0,30,Facebook,30.0,Regular User
user_059,1,-1.0,25,Facebook,25.0,Regular User
user_016,1,-1.0,10,Instagram,10.0,Regular User
